datetime,temp,humidity,precip,precipprob,windspeed,city
2024-01-06,10.2,80.7,1.573,100.0,29.2,Fojnica
2024-01-07,4.9,94.4,6.969,100.0,16.5,Fojnica
2024-01-08,-1.6,87.4,13.507,100.0,12.9,Fojnica
2024-01-09,-3.9,84.0,1.321,100.0,12.7,Fojnica
2024-01-10,-2.9,81.0,6.527,100.0,9.8,Fojnica
2024-01-11,-3.1,81.4,4.325,100.0,26.5,Fojnica
2024-01-12,-3.7,81.3,3.675,100.0,15.1,Fojnica
2024-01-13,-3.7,79.6,0.048,100.0,13.5,Fojnica
2024-01-14,-3.6,84.2,3.244,100.0,18.9,Fojnica
2024-01-15,1.5,92.4,1.325,100.0,19.1,Fojnica
2024-01-16,1.0,80.4,2.105,100.0,17.3,Fojnica
2024-01-17,4.3,83.2,0.735,100.0,27.9,Fojnica
2024-01-18,11.1,74.6,5.154,100.0,29.0,Fojnica
2024-01-19,3.8,92.0,8.29,100.0,23.0,Fojnica
2024-01-20,-4.3,83.0,17.435,100.0,16.3,Fojnica
2024-01-21,-8.1,80.3,19.464,100.0,15.1,Fojnica
2024-01-22,-6.3,78.5,15.138,100.0,9.8,Fojnica
2024-01-23,-2.2,89.1,13.882,100.0,12.3,Fojnica
2024-01-24,0.3,88.1,0.585,100.0,12.3,Fojnica
2024-01-25,1.1,92.0,4.223,100.0,14.2,Fojnica
2024-01-26,0.3,91.5,0.378,100.0,14.8,Fojnica
2024-01-27,1.9,74.6,0.458,100.0,17.4,Fojnica
2024-01-28,1.2,70.0,0.637,100.0,20.5,Fojnica
2024-01-29,-1.6,79.1,0.0,0.0,16.2,Fojnica
2024-01-30,-1.8,70.4,0.0,0.0,14.5,Fojnica
2024-01-31,-1.0,64.8,0.0,0.0,9.9,Fojnica
2024-02-01,0.2,63.7,0.0,0.0,12.5,Fojnica
2024-02-02,1.7,75.5,0.208,100.0,16.7,Fojnica
2024-02-03,3.7,72.2,0.0,0.0,13.4,Fojnica
2024-02-04,4.4,74.4,0.0,0.0,13.8,Fojnica
2024-02-05,4.1,77.5,0.0,0.0,16.0,Fojnica
2024-02-06,4.7,77.1,0.0,0.0,20.5,Fojnica
2024-02-07,6.1,76.2,0.013,100.0,24.4,Fojnica
2024-02-08,6.8,74.0,0.0,0.0,20.9,Fojnica
2024-02-09,7.6,69.1,0.0,0.0,25.6,Fojnica
2024-02-10,10.4,68.6,3.106,100.0,32.5,Fojnica
2024-02-11,9.0,83.5,11.773,100.0,32.7,Fojnica
2024-02-12,5.8,91.1,4.741,100.0,14.3,Fojnica
2024-02-13,4.7,89.3,5.493,100.0,17.6,Fojnica
2024-02-14,3.4,69.3,2.545,100.0,16.3,Fojnica
2024-02-15,2.5,79.4,0.0,0.0,10.6,Fojnica
2024-02-16,4.3,77.1,0.0,0.0,11.6,Fojnica
2024-02-17,5.9,71.1,0.0,0.0,12.0,Fojnica
2024-02-18,6.7,72.6,0.526,100.0,13.7,Fojnica
2024-02-19,4.5,70.1,0.0,0.0,14.6,Fojnica
2024-02-20,5.8,77.5,0.986,100.0,11.6,Fojnica
2024-02-21,4.6,79.4,0.314,100.0,8.6,Fojnica
2024-02-22,4.9,67.2,0.0,0.0,29.3,Fojnica
2024-02-23,9.6,57.2,0.306,100.0,33.0,Fojnica
2024-02-24,8.9,73.2,5.308,100.0,37.0,Fojnica
2024-02-25,5.5,95.4,29.509,100.0,17.5,Fojnica
2024-02-26,8.9,82.1,12.167,100.0,15.5,Fojnica
2024-02-27,9.5,72.7,0.497,100.0,25.5,Fojnica
2024-02-28,11.6,61.6,0.0,0.0,26.9,Fojnica
2024-02-29,9.4,82.5,0.652,100.0,8.0,Fojnica
2024-03-01,9.7,71.2,1.247,100.0,20.8,Fojnica
2024-03-02,8.0,71.8,0.612,100.0,13.0,Fojnica
2024-03-03,8.7,69.2,0.283,100.0,16.4,Fojnica
2024-03-04,8.0,68.6,0.361,100.0,16.0,Fojnica
